ano_concl;num_concl;id_cat_adm;cat;sub_cat_adm;nome_grau_acd;nome_mod_ensi;;;total_alunos_masc;ano_masc
2017;45308;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;61155;2017
2017;12083;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;53008;2016
2017;3764;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;50622;2015
2016;42568;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;46761;2014
2016;11691;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;46761;2013
2016;3575;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;43268;2012
2015;38936;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;44474;2011
2015;10632;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;4898;2010
2015;3440;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;42709;2009
2014;36960;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;;
2014;10406;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;;
2014;3256;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;;
2013;34385;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;;
2013;9463;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;;
2013;2913;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;;
2012;32560;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;;
2012;8033;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;;
2012;2675;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;;
2011;32280;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;;
2011;9489;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;;
2011;2705;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;;
2010;2969;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;;
2010;1349;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;;
2010;580;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;;
2009;29662;1;PÚBLICA;FEDERAL;BACHARELADO;PRESENCIAL;;;;
2009;6830;1;PÚBLICA;FEDERAL;LICENCIATURA;PRESENCIAL;;;;
2009;3305;1;PÚBLICA;FEDERAL;TECNOLÓGICO;PRESENCIAL;;;;
2009;2912;1;PÚBLICA;FEDERAL;BACHARELADO E LICENCIATURA;PRESENCIAL;;;;
